condition,mean_activation
W,-0.0005098891444924207
W,-0.0005720461092643782
W,-0.0006182263567755304
W,-0.0005109675881295071
W,-0.0011686670551227382
W,-0.0001690090726738998
W,-0.0010107534775622938
W,-0.0008977321757566521
W,-0.000477280696611992
W,-0.0004670516886750768
W,-0.0006127356329615191
W,-0.0005780219610512306
W,-0.0009148348292400818
W,-0.0010214176592902341
W,-0.00038994205298728714
W,-8.819216971492747e-05
W,-0.00022333565060569767
W,-0.0009232363380719181
W,-0.00021370124366568437
W,-0.000993712359856118
S,2.0821860794136318e-05
S,-0.0004284547522846721
S,-0.00028472586791162847
S,-0.0002449090793996508
S,-0.0008444355300238088
S,-0.0003402146768231822
S,-0.0005434190105584279
S,-0.0007575466435928412
S,0.00021760896592407946
S,-0.0006143541873557041
S,4.361922712020287e-05
S,-9.655062521864127e-05
S,-0.0008097269594727828
S,-0.0001412928260957851
S,-0.0003410594829184837
S,-0.0004341764954414411
S,-0.00024027240877270444
S,-0.00029042574125033214
S,-0.0008143660364840817
S,-0.0010825626561097811
S,-0.0001864409011277855
S,-0.0002975844665165684
S,-0.0012841395696065834
S,-7.739104406176252e-06
S,-0.0007858106181518043
S,-0.00037863426175370165
S,-0.0008341623880341456
S,-0.0006106371830861574
S,-0.0007412392579285018
S,-0.00030665617078525707
S,-0.0010624032191683408
S,-0.001051638284347602
S,-0.0008977471559319383
S,-0.000706373628422718
S,-0.0008788586306420085
S,-0.0011126525112556418
S,-0.0009583853223384907
S,-0.0009039709341404237
S,-0.0007634182103518062
S,-0.000384509539954632
S,-0.0008163549299184629
S,-0.0004474273939688872
S,-0.0003370229231310351
S,-0.0008296725091740772
S,-0.0008230532203780819
S,-0.0008061281496211172
S,-0.00040172198458428597
S,-0.0011640206115428053
S,-0.0006325105856302222
S,0.00012757231152066623
S,-0.0005193951919400021
S,-0.0005634378275417777
S,-0.0005164142066790618
S,-0.0005797088911036757
S,-0.0008735365246282095
S,-0.0012803226345219944
S,-0.00029284387171767834
S,-0.0010099306281534024
S,-0.0007250598657580612
S,-0.00034605274947865634
S,-0.000749467695026378
S,-0.0010178659471831934
S,-0.0005874417706090939
S,-0.0004767670793718972
S,-0.0009202762445446362
S,-0.0003521854953166384
S,-0.0011421308814488162
S,-0.00023030104294225937
S,-0.0006719531818315754
S,-0.00041525485439172614
S,-0.0005804516862663057
S,-0.0006876962197049941
S,-0.0007944601428527435
S,-0.0005851927321693475
S,-0.0009709349603418201
S,-0.0009966560110080294
S,-0.0007222245989377909
S,-0.0007734614790544063
S,-0.0006657747409258728
S,-0.0004071481800092071
S,-8.774002921831086e-06
S,-0.0008744548283189311
S,-0.0010430173608383182
S,-0.0006236505514259394
S,-0.000613367155851012
S,-3.230407680478363e-05
S,-0.00020357358243927592
S,-0.0006293688056711271
S,-0.0006506311104259316
S,-0.0002425945345906684
S,-0.00040016612482369443
S,-0.0011942587127154582
S,-0.0005018363168173845
S,-0.0007395702235146241
S,-0.0008153764584648695
S,-0.0004348747897568371
S,-0.0010679478234625114
S,-0.0006575502797197575
S,-0.001098576668103222
S,-0.00035087937179905195
S,0.0002893664145468782
S,-0.0007443812275436339
S,-0.00034981997595891977
S,-0.0009894871592752345
S,-0.0007092393941826342
S,-0.0009027702423100909
S,-0.0003566108237984216
S,-0.0007691220652088992
S,-0.0009510628271251724
S,-0.0004168506704668196
S,-0.0008708424020253413
S,-0.0008723895697798702
S,-0.0011501890303430183
S,-0.0003534292750234216
S,-0.0011283769328032372
S,-0.0006494361681719785
S,-0.0005552479603143554
S,-0.0008165597769301972
S,-0.000880621490407474
S,-0.001012868846338947
S,-0.000713871884337485
S,-0.000663958010621321
S,-0.0010967591675233618
S,-7.071077183985724e-05
S,-0.0002945622981864828
S,-0.00014467589559611653
S,-0.0005546913795411939
S,-0.0008703904781650844
S,-0.0005265992825255761
S,8.485754192383402e-05
S,-0.000996432741326502
S,-0.0007615738013230709
S,0.00014446625874568882
S,-0.0007356918803016386
S,0.00024306978303172274
S,-0.0006779517397157113
S,-0.0004883158432110169
S,-0.001149984664605008
S,-0.0008683258924395199
S,-0.0009774009288798474
S,-0.0007392581384295569
S,-0.0005016805713687378
S,-0.0006979523121062859
S,-0.0008263741222514668
S,-0.0008816250357266635
S,-0.00018946081545825378
S,-0.0009204268735838552
S,-0.0007373167292039583
S,-0.0008828735730791164
S,5.82246437914466e-05
S,-0.0005244682284284158
S,-0.0009239785845029844
S,-0.0007026836436111529
S,-0.0008071528999612476
S,-0.0007130101460609935
S,-0.0007706735464829106
S,-0.0013784775111354733
S,-0.0007088175788454715
S,-0.0006457943475748713
S,-0.0011132412094421128
J,-2.4329102809495414e-05
J,-0.0005950295615714274
J,-0.0005815288583922417
J,-0.0007824836962401827
J,0.0002224877749254653
J,-0.00039305672288028105
J,0.00026290122855301685
J,-0.0006697039582400531
J,-0.0007749907300626082
J,2.5599482022622228e-06
J,-0.00021988827989955506
J,-6.210588720757549e-05
J,-0.00019609087174077958
J,-4.948727330870218e-06
J,-0.0003727575500905153
J,-8.82960996222562e-05
J,-0.0007274351796134371
J,-0.0003863869496540803
J,-0.0004194422136381537
J,-0.0011382832587261817
J,-0.00044591100016318984
J,-0.00043433617094140167
J,-0.0003343523924123864
J,-0.000604227916403024
J,-0.0005043607703829385
J,-0.00023608728067324474
J,-0.00035328469584783306
J,-0.000490461332049108
J,0.00032948930283881894
J,-0.00029930289953222663
J,-0.0004286832553027574
J,-9.913387804052533e-05
J,-0.0007770586866467038
J,-0.0006712267361169269
J,-0.00012957058489908895
J,-0.0006422468458059224
J,-0.000424022704554058
J,-0.0007184093696529662
J,-1.804745957830461e-05
J,-0.0004199982632400179
J,8.500257622843641e-05
J,-0.0005799599180553908
J,-3.8879270477434834e-05
J,-0.0005940869668842081
J,-0.00018937467865614554
J,-0.00019848295128514686
J,-0.00044637396098439744
J,0.00016358621825804444
J,-0.00028762942707423776
J,-0.0004265763731920594
J,0.0003667114086947178
J,-0.0005275772664043341
J,-0.0003180937235878427
J,-0.00013780792240289215
J,-0.00035275590027701896
J,-0.00024179606684613793
J,0.00011952078371135086
J,-4.275279216782871e-05
J,1.2045614219712717e-05
J,-0.0008102190157651294
J,-0.0004116732645380413
J,6.94991648677907e-05
J,-0.0006446461771871531
J,-0.0005881384794733726
J,-0.001018314039110548
J,-0.0003229714265430351
J,-0.0003275365996563667
J,-0.0005350055949314046
J,-6.531000618725576e-05
J,-0.0007189402131560349
J,-0.0003801232344914974
J,-9.90838509319381e-05
J,-0.0007703932892025255
J,-0.0003686841206195609
J,-0.00047880759712972494
J,-0.0004668789994300415
J,7.473439384359979e-05
J,-0.0007234543624542795
J,0.00019953870838546617
J,-0.0004636496285779314
J,-3.0689736845766786e-05
J,-0.00030598817114094125
J,-0.00023862367071480586
J,-0.00038253057947346803
J,-4.2907124726316766e-05
J,-0.00022778315841158158
J,-0.0007151034484005155
J,-7.82057899291245e-05
J,-0.00015703175927344592
J,-0.00015106090237001197
J,-0.001080527415227579
J,0.00013489316216687164
J,-0.0003183430793674048
J,2.2881018433239733e-05
J,-0.00038251818988573586
J,-0.00040048446119338534
J,-1.7490986767036385e-05
J,-0.00013514073554142552
J,0.000290735710440022
J,-7.825315595960555e-05
J,-0.0004785841238836671
J,-0.0001508898292286176
J,0.00022980631927668806
